userName,password,firstName,lastName,email,mobileNo,location
ravikant,ravi@123,Raviaknt,Madas,ravi@gmail.com,9175150073,solapur
shridhar,shri@123,Shridhar,Madas,shri@gmail.com,8421488752,solapur
vyankatesh,vyankatesh@123,Vyankatesh,Madas,vyankatesh@gmail.com,9876543210,solapur
sunita,sunita@123,Sunita,Madas,sunita@gmail.com,9876556789,solapur
kapil,kapil@123,kapil,adam,kapil@gmail.com,8765432345,solapur
bharat,bharat@123,bharat,konari,bharat@gmail.com,9876432345,solapur
nikhil,nikhil@123,nikhil,kongari,nikhil@gmail.com,9876565656,solapur
navin,navin@123,navin,dasi,navin@gmail.coom,9898989898,solapur
rishit,rishit@123,rishit,kubra,rishit@gmail.com,9879879879,mumbai
prem,prem@123,prem,pal,prem@gmail.com,9879879876,mumbai
shubham,shubham@123,shubham,mishra,shubham@gmail.com,9876545454,mumbai
nitin,nitin@123,nitin,shukla,nitin@gmail.com,9876543434,mumbai
jayesh,jayesh@123,jayesh,patil,jayesh@gmail.com,9897987676,mumbai
rahul,rahul@123,rahul,thambe,rahul@gmail.com,9876676767,mumbai
manan,manan@123,manan,patel,manan@gmail.com,8787878787,mumbai
anisha,anisha@123,anisha,ak,anisha@gmail.com,6767676767,mumbai
neha,neha@123,neha,pitale,neha@gmail.com,6767675656,mumbai
vrushali,vrushali@123,vrushali,kapure,vrushali@gmail.com,4545454545,mumbai
rutuja,rutuja@123,rutuja,patil,rutuja@gmail.com,4543434343,mumbai
